league,season,team,player_name,nation,position,age,date_of_birth,Playing Time_MP,Playing Time_Starts,minutes,Playing Time_90s,goals,assists,Performance_G+A,Performance_G-PK,Performance_PK,Performance_PKatt,yellow_cards,red_cards,Per 90 Minutes_Gls,Per 90 Minutes_Ast,Per 90 Minutes_G+A,Per 90 Minutes_G-PK,Per 90 Minutes_G+A-PK,np_xg,xg,xa,np_goals,key_passes,xg_chain,xg_buildup,key_passes_per90,def_actions_per90,standard_position,position_source,is_official,data_completeness
Premier League,2425,Ipswich Town,Omari Hutchinson,ENG,MF,20.0,2003.0,31,30,2583,28.7,3,2,5,3,0,0,5,0,0.1,0.07,0.17,0.1,0.17,3.5237994957715277,3.5237994957715277,3.373567247763276,3,31,10.518985860049725,4.673843790777028,1.0801393728222997,0.0,AM,heuristic,True,1.0
Premier League,2425,Leicester City,Abdul Fatawu Issahaku,GHA,"MF,FW",20.0,2004.0,11,6,579,6.4,0,2,2,0,0,0,0,0,0.0,0.31,0.31,0.0,0.31,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,Winger,heuristic,False,1.0
Premier League,2425,Leicester City,Bilal El Khannouss,MAR,MF,20.0,2004.0,32,27,2182,24.2,2,3,5,2,0,0,4,0,0.08,0.12,0.21,0.08,0.21,1.4420042671263218,1.4420042671263218,4.914181550964713,2,42,7.097214490175247,3.5222754068672657,1.7323556370302475,0.0,AM,heuristic,True,1.0
Premier League,2425,Leicester City,Facundo Buonanotte,ARG,"MF,FW",19.0,2004.0,31,14,1523,16.9,5,2,7,5,0,0,8,0,0.3,0.12,0.41,0.3,0.41,4.3609558045864105,4.3609558045864105,3.352718798443675,5,25,7.7602359261363745,3.0961448941379786,1.4773473407747868,0.0,Winger,heuristic,True,1.0
Premier League,2425,Leicester City,Jake Evans,ENG,MF,15.0,2008.0,4,0,24,0.3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,CM,heuristic,False,1.0
Premier League,2425,Leicester City,Jeremy Monga,ENG,FW,15.0,2009.0,7,0,112,1.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.2071486935019493,0.2071486935019493,0.0185432843863964,0,1,0.3133860789239406,0.0876941084861755,0.8035714285714285,0.0,Winger,heuristic,False,1.0
Premier League,2425,Leicester City,Michael Golding,ENG,MF,18.0,2006.0,1,0,1,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,CM,heuristic,False,1.0
Premier League,2425,Leicester City,Victor Bernth Kristiansen,DEN,"DF,MF",21.0,2002.0,30,29,2482,27.6,0,1,1,0,0,0,1,0,0.0,0.04,0.04,0.0,0.04,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,CM,heuristic,True,1.0
Premier League,2425,Leicester City,Will Alves,ENG,MF,19.0,2005.0,1,0,1,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,CM,heuristic,False,1.0
Premier League,2425,Liverpool,Harvey Elliott,ENG,MF,21.0,2003.0,18,2,371,4.1,1,2,3,1,0,0,1,0,0.24,0.49,0.73,0.24,0.73,1.6678786408156157,1.6678786408156157,1.2793736029416325,1,10,4.181995172053576,2.2030859515070915,2.4258760107816713,0.0,AM,heuristic,False,1.0
Premier League,2425,Liverpool,Jayden Danns,ENG,FW,18.0,2006.0,1,0,11,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,Winger,heuristic,False,1.0
Premier League,2425,Manchester City,Claudio Echeverri,ARG,MF,18.0,2006.0,1,0,6,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,CM,heuristic,False,1.0
Premier League,2425,Manchester City,Divin Mubama,ENG,FW,19.0,2004.0,1,0,28,0.3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0625510141253471,0.0625510141253471,0.0,0,0,0.0,0.0,0.0,0.0,Winger,heuristic,False,1.0
Premier League,2425,Manchester City,James Mcatee,ENG,MF,21.0,2002.0,15,3,349,3.9,3,0,3,3,0,0,1,0,0.77,0.0,0.77,0.77,0.77,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,CM,heuristic,False,1.0
Premier League,2425,Manchester City,Oscar Bobb,NOR,"FW,MF",21.0,2003.0,3,0,16,0.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0901587530970573,0,1,0.0901587530970573,0.0,5.625,0.0,Winger,heuristic,False,1.0
Premier League,2425,Manchester City,Rico Lewis,ENG,"DF,MF",19.0,2004.0,28,21,1893,21.0,1,2,3,1,0,0,5,1,0.05,0.1,0.14,0.05,0.14,1.6414977870881555,1.6414977870881555,0.3464172556996345,1,7,14.292443186044691,12.876099944114683,0.33280507131537246,0.0,AM,heuristic,True,1.0
Premier League,2425,Manchester City,Sávio,BRA,"MF,FW",20.0,2004.0,29,21,1766,19.6,1,8,9,1,0,0,3,0,0.05,0.41,0.46,0.05,0.46,5.246914088726044,5.246914088726044,6.9446608647704124,1,45,16.14704818278551,5.930092327296734,2.2933182332955835,0.0,Winger,heuristic,True,1.0
Premier League,2425,Manchester Utd,Alejandro Garnacho,ARG,MF,20.0,2004.0,36,23,2199,24.4,6,2,8,6,0,0,3,0,0.25,0.08,0.33,0.25,0.33,9.43980634957552,9.43980634957552,3.4675094597041607,6,38,16.76700660586357,5.79347936809063,1.5552523874488404,0.0,AM,heuristic,True,1.0
Premier League,2425,Manchester Utd,Chidozie Obi-Martin,DEN,FW,16.0,2007.0,7,1,165,1.8,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,Winger,heuristic,False,1.0
Premier League,2425,Manchester Utd,Harry Amass,ENG,MF,17.0,2007.0,5,4,346,3.8,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0897043105214834,0.0897043105214834,0.0491649769246578,0,1,1.3546761870384216,1.2308019548654556,0.26011560693641617,0.0,AM,heuristic,False,1.0
Premier League,2425,Manchester Utd,Kobbie Mainoo,ENG,MF,19.0,2005.0,25,19,1651,18.3,0,0,0,0,0,0,5,0,0.0,0.0,0.0,0.0,0.0,0.7448182795196772,0.7448182795196772,2.04548772983253,0,14,6.994521474465728,4.4265395030379295,0.7631738340399759,0.0,AM,heuristic,True,1.0
Premier League,2425,Manchester Utd,Patrick Dorgu,DEN,MF,19.0,2004.0,12,10,842,9.4,0,0,0,0,0,0,3,1,0.0,0.0,0.0,0.0,0.0,0.3947257157415151,0.3947257157415151,0.9689584393054248,0,11,2.922609027475118,1.9455055128782988,1.175771971496437,0.0,AM,heuristic,True,1.0
Premier League,2425,Manchester Utd,Rasmus Højlund,DEN,FW,21.0,2003.0,32,23,2004,22.3,4,0,4,4,0,0,2,0,0.18,0.0,0.18,0.18,0.18,5.865164168179035,5.865164168179035,2.1415039356797934,4,16,8.606904566287994,2.4272238351404667,0.7185628742514969,0.0,Winger,heuristic,True,1.0
Premier League,2425,Manchester Utd,Toby Collyer,ENG,MF,20.0,2004.0,6,0,179,2.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0509475357830524,0.0509475357830524,0.1618404779583215,0,2,0.8362514898180962,0.6744109764695168,1.005586592178771,0.0,AM,heuristic,False,1.0
Premier League,2425,Newcastle United,Lewis Miley,ENG,MF,18.0,2006.0,14,1,313,3.5,1,0,1,1,0,0,0,0,0.29,0.0,0.29,0.29,0.29,0.2039504423737526,0.2039504423737526,0.0893867462873458,1,1,1.0136461164802313,0.8299028035253286,0.2875399361022364,0.0,AM,heuristic,False,1.0
Premier League,2425,Newcastle United,William Osula,DEN,FW,20.0,2003.0,14,0,134,1.5,1,0,1,1,0,0,0,0,0.67,0.0,0.67,0.67,0.67,0.2826921939849853,0.2826921939849853,0.1338628381490707,1,2,0.3538459315896034,0.0743556916713714,1.3432835820895521,0.0,Winger,heuristic,False,1.0
Premier League,2425,Nottingham Forest,Elliot Anderson,ENG,MF,21.0,2002.0,37,33,2728,30.3,2,6,8,2,0,0,10,0,0.07,0.2,0.26,0.07,0.26,2.230010911822319,2.230010911822319,4.1257980996742845,2,37,9.88364265859127,6.357638165354729,1.220674486803519,0.0,AM,heuristic,True,1.0
Premier League,2425,Southampton,Carlos Alcaraz,ARG,MF,21.0,2002.0,1,0,10,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,1.660201769322157,1.660201769322157,2.288683351129293,2,14,3.914981357753277,0.6430606916546822,125.99999999999999,0.0,AM,heuristic,False,1.0
Premier League,2425,Southampton,Jay Robinson,ENG,MF,17.0,2007.0,4,1,137,1.5,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0555344186723232,0.0555344186723232,0.6817478071898222,0,3,0.873368987813592,0.1360867917537689,1.9708029197080292,0.0,AM,heuristic,False,1.0
Premier League,2425,Southampton,Lesley Ugochukwu,FRA,MF,20.0,2004.0,26,18,1655,18.4,1,1,2,1,0,0,7,0,0.05,0.05,0.11,0.05,0.11,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,CM,heuristic,True,1.0
Premier League,2425,Southampton,Mateus Fernandes,POR,MF,20.0,2004.0,36,34,2909,32.3,2,4,6,2,0,0,8,0,0.06,0.12,0.19,0.06,0.19,5.0105931609869,5.0105931609869,3.847336508333683,2,34,12.354681935161352,6.976256597787142,1.0519078721210038,0.0,AM,heuristic,True,1.0
Premier League,2425,Southampton,Samuel Amo-Ameyaw,ENG,"FW,MF",18.0,2006.0,2,0,28,0.3,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0327474772930145,0.0327474772930145,0.0393431074917316,0,1,0.0720905885100364,0.0,3.214285714285714,0.0,Winger,heuristic,False,1.0
Premier League,2425,Southampton,Samuel Edozie,ENG,"FW,MF",21.0,2003.0,2,0,65,0.7,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0817131176590919,0,1,0.6017810702323914,0.5200679302215576,1.3846153846153846,0.0,Winger,heuristic,False,1.0
Premier League,2425,Southampton,Tyler Dibling,ENG,"MF,FW",18.0,2006.0,33,20,1874,20.8,2,0,2,2,0,0,6,0,0.1,0.0,0.1,0.1,0.1,3.091769566759467,3.091769566759467,1.979686425998807,2,20,8.59219616651535,4.698215810582042,0.96051227321238,0.0,Winger,heuristic,True,1.0
Premier League,2425,Tottenham Hotspur,Archie Gray,ENG,"DF,MF",18.0,2006.0,28,19,1751,19.5,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0294456556439399,0.0294456556439399,0.1526386328041553,0,3,4.387982405722141,4.24487853422761,0.15419760137064534,0.0,AM,heuristic,True,1.0
Premier League,2425,Tottenham Hotspur,Dane Scarlett,ENG,FW,20.0,2004.0,3,0,34,0.4,0,1,1,0,0,0,0,0,0.0,2.65,2.65,0.0,2.65,0.2694910168647766,0.2694910168647766,0.0761205926537513,0,1,0.345611609518528,0.0,2.6470588235294117,0.0,Winger,heuristic,False,1.0
Premier League,2425,Tottenham Hotspur,Lucas Bergvall,SWE,MF,18.0,2006.0,27,11,1212,13.5,0,1,1,0,0,0,3,0,0.0,0.07,0.07,0.0,0.07,0.6092278761789203,0.6092278761789203,0.7203583419322968,0,11,5.082979638129473,4.340266279876232,0.8168316831683169,0.0,AM,heuristic,True,1.0
Premier League,2425,Tottenham Hotspur,Mathys Tel,FRA,FW,19.0,2005.0,13,11,911,10.1,2,1,3,1,1,1,2,0,0.2,0.1,0.3,0.1,0.2,2.0383324064314365,2.799501243978739,2.507141198962927,1,14,5.105695888400078,1.6562889069318771,1.3830954994511526,0.0,Winger,heuristic,True,1.0
Premier League,2425,Tottenham Hotspur,Mikey Moore,ENG,"MF,FW",16.0,2007.0,10,3,366,4.1,0,1,1,0,0,0,0,0,0.0,0.25,0.25,0.0,0.25,0.1638267338275909,0.1638267338275909,0.6736010685563087,0,3,1.1337775886058807,0.846306886523962,0.7377049180327869,0.0,Winger,heuristic,False,1.0
Premier League,2425,Tottenham Hotspur,Pape Matar Sarr,SEN,MF,21.0,2002.0,36,22,1913,21.3,3,2,5,3,0,0,6,0,0.14,0.09,0.24,0.14,0.24,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,CM,heuristic,True,1.0
Premier League,2425,Tottenham Hotspur,Will Lankshear,ENG,FW,19.0,2005.0,3,0,11,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,Winger,heuristic,False,1.0
